asset_number,asset_description,manufacturer,model_number,serial_number,facility,department,purchase_date,install_date,support_end_date,operating_system,ip_address,mac_address,device_status,replacement_cost,risk_score
ASSET-000384,Surgical Lights,Welch Allyn,WEL-7941,PC-71324754,Nampa,Cardiac Care,2016-09-13,2016-09-30,2029-01-08,Custom OS,192.168.144.155,,Active,236875.87,68.13
ASSET-000385,Ventilators,Drager,DRA-7086,SF-37367850,Wood River,Med/Surg,2018-05-04,2018-05-18,2026-10-25,,192.168.73.42,21:6c:05:9e:60:67,Active,21021.56,87.69
ASSET-000386,Cardiac Devices,Biotronik,BIO-1748,FG-14862890,Boise,Emergency,2016-05-01,2016-06-16,2032-09-07,Embedded Linux,192.168.250.34,31:a9:d0:33:4c:0c,Active,194145.31,70.86
ASSET-000387,Ventilators,Philips,PHI-8587,JM-30307053,Meridian,ICU (Intensive Care),2018-04-26,2018-07-23,2030-03-17,QNX,192.168.134.239,,Active,69942.8,57.91
ASSET-000388,Anesthesia Machines,Aisys,AIS-7350,QF-78610357,Magic Valley,Lab,2016-03-19,2016-06-08,2028-01-05,,192.168.223.249,,Retired,251961.57,84.55
ASSET-000389,Ventilators,Drager,DRA-5589,KA-79855241,North Canyon,Emergency,2020-02-03,2020-02-26,2029-08-09,,192.168.237.36,,Loaner,246688.2,48.63
ASSET-000390,Microscopes,Leica,LEI-8222,JP-60293333,McCall,Neuro,2020-06-03,2020-08-30,2029-11-02,QNX,192.168.203.63,04:4f:35:94:c0:51,Active,427645.45,47.23
ASSET-000391,CT Scanners,Toshiba,TOS-8675,HJ-80072290,Wood River,Neuro,2022-02-03,2022-02-27,2031-07-25,Embedded Linux,192.168.82.88,,Active,352633.97,39.76
ASSET-000392,Vital Signs Monitors,GE Healthcare,GE -8699,GQ-94466574,Nampa,Lab,2020-10-02,2020-12-18,2028-06-26,Embedded Linux,192.168.55.223,d8:8a:81:5a:2a:48,Active,205508.9,62.98
ASSET-000393,Vital Signs Monitors,GE Healthcare,GE -5250,MT-48969108,Nampa,OR (Operating Room),2016-07-11,2016-08-19,2027-06-14,VxWorks,192.168.42.248,b5:c7:05:65:27:4a,Active,493252.13,100.0
ASSET-000394,Anesthesia Machines,GE Healthcare,GE -8514,JL-99441715,Nampa,Recovery,2020-02-26,2020-05-23,2027-09-24,Embedded Linux,,,Active,321263.62,65.78
ASSET-000395,MRI,Canon,CAN-3721,NL-44432830,North Canyon,Med/Surg,2018-06-07,2018-07-02,2030-01-12,,192.168.230.79,3f:ff:e9:d3:d2:b4,Active,273521.17,60.23
ASSET-000396,Lighting Systems,Surgical Care Industries,SUR-8517,BG-20744666,Eagle,Emergency,2017-09-20,2017-10-11,2029-11-23,QNX,192.168.159.241,,Retired,497704.79,68.06
ASSET-000397,Cardiac Devices,Biotronik,BIO-2698,TF-53875842,Fruitland,OB/GYN,2023-02-21,2023-04-19,2031-11-10,,192.168.199.117,3a:64:f0:3f:b3:ed,Active,411106.9,37.04
ASSET-000398,CT Scanners,Siemens,SIE-9315,CH-41724825,Twin Falls,Cardiac Care,2019-05-27,2019-07-20,2028-07-02,Windows 11,192.168.216.210,a2:ab:57:dc:7b:c8,Active,323995.01,73.29
ASSET-000399,Ventilators,VELA,VEL-7396,KQ-53465549,Elmore,Imaging (Radiology),2021-06-17,2021-07-08,2027-02-23,,192.168.162.148,,Active,315522.6,72.6
ASSET-000400,Patient Monitors,Philips,PHI-2528,GS-17099917,Boise,Med/Surg,2015-11-25,2016-02-09,2027-10-23,Windows 10,192.168.7.191,e8:b7:5f:7a:71:98,Active,421026.11,87.26
ASSET-000401,Dehumidifiers,Carel,CAR-1847,GL-16846022,Twin Falls,ICU (Intensive Care),2017-11-01,2018-01-22,2031-02-15,,192.168.37.73,5c:2f:27:fd:b9:6a,Active,248063.29,55.22
ASSET-000402,Patient Monitors,Edan,EDA-7879,LF-69725217,Eagle,Emergency,2022-03-06,2022-04-14,2026-03-22,VxWorks,,af:b1:f7:02:51:82,Retired,100458.4,65.3
ASSET-000403,Dehumidifiers,Condair,CON-4543,FR-50074329,McCall,ICU (Intensive Care),2018-01-11,2018-01-29,2027-12-23,,192.168.124.52,,Active,277991.07,72.94
ASSET-000404,MRI,Canon,CAN-7552,NA-12966667,Magic Valley,Cardiac Care,2017-04-22,2017-05-28,2028-10-10,Windows 11,,e4:d8:8b:a3:37:c4,Active,285735.31,63.74
ASSET-000405,Defibrillators,Zoll,ZOL-1553,AA-08350583,Jerome,Cardiac Care,2021-05-20,2021-08-11,2029-07-01,Custom OS,192.168.203.48,25:6e:be:be:4a:a0,Active,162701.62,40.11
ASSET-000406,Cardiac Devices,Abbott,ABB-4811,KF-33542168,Jerome,ICU (Intensive Care),2021-05-20,2021-06-17,2028-05-23,Custom OS,,d7:de:a2:a3:65:64,Active,249497.46,55.47
ASSET-000407,Infusion Pumps,B. Braun,B. -3803,LP-10447898,North Canyon,Emergency,2021-04-19,2021-04-22,2026-11-26,,,,Active,421613.22,74.03
ASSET-000408,CT Scanners,GE Healthcare,GE -2137,HH-25753260,Fruitland,ICU (Intensive Care),2021-12-10,2022-01-15,2029-02-18,,192.168.13.101,e8:fc:3e:bf:34:0e,Active,413600.98,36.39
ASSET-000409,Patient Monitors,GE Healthcare,GE -2442,BN-23098215,Magic Valley,Emergency,2023-01-23,2023-01-30,2027-01-04,Windows Server 2019,192.168.85.177,c2:8a:57:46:eb:3d,Active,431637.98,67.53
ASSET-000410,Dialysis,Baxter,BAX-3004,BD-48909010,Jerome,Neuro,2018-10-16,2019-01-09,2028-12-16,Windows Server 2019,192.168.183.22,7c:69:27:26:fd:1e,Active,336896.98,54.68
ASSET-000411,Infusion Pumps,Baxter,BAX-4418,GA-67618472,North Canyon,Neuro,2023-06-25,2023-08-04,2030-09-04,,192.168.94.99,,Retired,259164.7,37.8
ASSET-000412,MRI,Siemens,SIE-6032,PD-46184992,North Canyon,ICU (Intensive Care),2017-08-04,2017-08-19,2027-08-06,Embedded Linux,192.168.116.91,2b:b5:dc:6c:4d:cb,Active,256423.78,90.53
ASSET-000413,Anesthesia Machines,Aisys,AIS-7267,GJ-89141173,Elmore,Med/Surg,2018-05-07,2018-06-28,2026-05-17,VxWorks,192.168.175.13,38:70:3a:1b:12:88,Active,268405.2,87.75
ASSET-000414,MRI,Hitachi,HIT-2659,RG-83564208,Magic Valley,Cardiac Care,2022-04-06,2022-05-03,2028-10-10,,192.168.129.233,f4:9c:7a:57:a1:23,Active,169416.88,39.55
ASSET-000415,MRI,Philips,PHI-1341,RE-75300119,Nampa,Cardiac Care,2016-03-22,2016-03-24,2032-10-01,Windows 11,192.168.12.210,94:74:55:4b:30:33,Active,369412.3,69.53
ASSET-000416,Dialysis,Baxter,BAX-5153,JQ-18114374,McCall,Recovery,2015-06-10,2015-07-23,2030-10-16,QNX,192.168.164.6,d2:70:48:b6:fe:0f,Active,371801.15,79.73
ASSET-000417,Infusion Pumps,Medtronic,MED-7189,DD-01204556,Wood River,ICU (Intensive Care),2019-11-22,2020-01-31,2029-09-06,QNX,192.168.85.101,8d:9e:61:15:af:3e,Active,230238.7,54.68
ASSET-000418,Infusion Pumps,Alaris,ALA-9174,JC-00225579,Wood River,Imaging (Radiology),2022-11-05,2023-01-11,2030-11-06,Windows Server 2019,192.168.76.4,6f:90:3f:1b:fa:9c,Active,179366.48,38.34
ASSET-000419,CT Scanners,Philips,PHI-9224,NR-55216674,Wood River,Neuro,2017-02-23,2017-03-30,2026-12-07,Windows 10,192.168.9.122,,Active,340857.64,93.86
ASSET-000420,Lighting Systems,Steris,STE-5948,RQ-62120216,North Canyon,Cardiac Care,2017-10-14,2018-01-09,2031-03-22,,192.168.107.142,9c:2b:98:ec:5d:c0,Active,417756.91,55.96
ASSET-000421,Vital Signs Monitors,Mindray,MIN-8673,RD-29659027,McCall,Med/Surg,2022-07-14,2022-09-12,2026-09-01,,192.168.194.36,9a:7c:bf:41:96:1b,Active,199366.36,69.03
ASSET-000422,Defibrillators,Philips,PHI-2387,HL-67014508,Boise,Cardiac Care,2016-06-20,2016-07-03,2030-12-11,,192.168.150.173,1b:68:49:fd:45:72,Retired,321635.72,66.55
ASSET-000423,Dehumidifiers,Carel,CAR-4288,NE-88916375,Meridian,ICU (Intensive Care),2015-03-20,2015-04-05,2028-02-16,VxWorks,192.168.15.238,cf:f7:5e:78:85:e0,Retired,310493.47,89.32
ASSET-000424,Ventilators,VELA,VEL-4943,FC-89002877,Nampa,Neuro,2023-04-16,2023-06-17,2027-11-04,,192.168.171.71,36:ed:d5:d9:4b:0e,Active,64462.62,48.89
ASSET-000425,Dialysis,Gambro,GAM-8282,TN-75354083,Boise,Emergency,2017-08-24,2017-10-22,2027-03-12,Custom OS,192.168.90.232,c7:20:59:4d:b4:ad,Active,430038.63,91.4
ASSET-000426,Lighting Systems,Steris,STE-2117,RQ-63177971,Wood River,Recovery,2021-08-20,2021-11-13,2027-12-17,,192.168.34.179,b2:ce:22:17:0f:51,Active,334304.18,59.99
ASSET-000427,Dehumidifiers,Condair,CON-4876,TT-51701660,Meridian,Imaging (Radiology),2021-07-03,2021-07-11,2028-12-03,Windows Server 2019,192.168.216.8,,Active,350869.23,43.78
ASSET-000428,Patient Monitors,Mindray,MIN-9046,QL-01994883,Fruitland,Cardiac Care,2018-04-24,2018-05-15,2029-04-03,QNX,,11:47:02:b8:d0:24,Active,342768.8,64.58
ASSET-000429,Patient Monitors,GE Healthcare,GE -8761,RM-50375899,Jerome,Emergency,2020-10-18,2020-11-05,2029-11-13,,192.168.33.201,33:3c:ff:76:1a:a9,Active,411557.26,47.9
ASSET-000430,Surgical Lights,Brüel & Kjaer,BRÜ-2113,TS-71130554,Nampa,Cardiac Care,2016-09-19,2016-10-20,2032-09-10,Windows 10,192.168.229.29,86:0f:10:ad:d7:85,Active,444573.88,65.59
ASSET-000431,CT Scanners,GE Healthcare,GE -4860,JG-51027261,Fruitland,ICU (Intensive Care),2015-06-03,2015-07-27,2030-02-18,Windows 11,192.168.11.27,73:b3:dc:f4:9b:74,Active,32401.49,77.74
ASSET-000432,Dialysis,Fresenius,FRE-8899,PB-31637351,Boise,Med/Surg,2021-12-05,2022-01-30,2029-02-15,VxWorks,,63:af:df:1d:79:76,Active,9974.58,39.13
ASSET-000433,Dehumidifiers,Condair,CON-5094,AS-91779827,Boise,ICU (Intensive Care),2015-03-15,2015-04-08,2027-06-12,Windows 11,,cb:f5:3e:27:27:80,Retired,106901.18,100.0
ASSET-000434,Defibrillators,Medtronic,MED-7011,FE-08697829,Jerome,Cardiac Care,2018-09-09,2018-10-20,2029-01-12,,192.168.160.125,68:46:76:9c:6b:3e,Active,409107.96,56.42
ASSET-000435,Dialysis,Baxter,BAX-2871,HJ-16995866,Boise,Recovery,2015-05-09,2015-07-24,2031-02-02,VxWorks,192.168.5.221,e3:16:72:69:c2:5e,Active,268583.51,76.6
ASSET-000436,Lighting Systems,Surgical Care Industries,SUR-6508,SK-65472269,Twin Falls,OB/GYN,2018-01-11,2018-04-01,2029-12-24,,,93:ed:d9:85:53:c3,Active,496343.47,57.38
ASSET-000437,Dehumidifiers,Honeywell,HON-5495,ME-85833394,Meridian,Lab,2023-05-11,2023-07-24,2030-06-09,Custom OS,192.168.198.156,9d:a4:87:5b:e3:ec,Active,9391.0,30.37
ASSET-000438,Microscopes,Leica,LEI-7694,PT-28851587,Boise,OB/GYN,2016-05-20,2016-07-30,2028-03-09,,192.168.223.127,59:4b:19:77:3a:13,Active,255826.0,84.4
ASSET-000439,Surgical Lights,Welch Allyn,WEL-1996,BB-46081062,Elmore,Cardiac Care,2019-01-22,2019-03-09,2028-04-12,VxWorks,192.168.131.20,a6:be:d4:24:da:90,Active,166637.57,72.88
ASSET-000440,Lighting Systems,Brüel & Kjaer,BRÜ-7139,GT-34244204,Fruitland,Cardiac Care,2015-03-12,2015-03-18,2027-03-19,VxWorks,192.168.81.131,b0:6e:c1:10:4c:c3,Active,326359.98,100.0
ASSET-000441,Cardiac Devices,LivaNova,LIV-9982,NH-05719838,Elmore,Med/Surg,2023-12-04,2024-02-10,2030-11-17,Windows Server 2019,192.168.215.148,7c:a8:7c:b9:76:e9,Active,486336.44,31.93
ASSET-000442,CT Scanners,GE Healthcare,GE -6766,BA-84066658,Jerome,Neuro,2016-06-21,2016-08-22,2029-07-08,Custom OS,,,Active,455086.54,71.74
ASSET-000443,Dehumidifiers,Carel,CAR-6596,GG-43973598,McCall,ICU (Intensive Care),2016-07-14,2016-09-17,2030-11-25,Windows 11,,3d:d6:86:f0:33:40,Retired,417759.99,65.24
ASSET-000444,Ventilators,Puritan Bennett,PUR-9672,NB-47212281,Eagle,Med/Surg,2020-03-13,2020-06-11,2030-02-11,,,37:17:25:b5:e5:d1,Active,371645.25,49.36
ASSET-000445,Surgical Lights,Welch Allyn,WEL-9345,AL-64842294,Meridian,Imaging (Radiology),2015-10-19,2015-12-06,2029-06-15,QNX,192.168.242.198,98:fc:ae:18:da:92,Active,162696.26,71.78
ASSET-000446,MRI,Canon,CAN-5558,KR-72025909,North Canyon,OB/GYN,2020-02-12,2020-03-20,2027-05-09,Windows 11,,84:36:76:8e:48:31,Active,420201.05,82.55
ASSET-000447,Lighting Systems,Brüel & Kjaer,BRÜ-9813,SC-98515832,Magic Valley,OR (Operating Room),2022-01-12,2022-02-08,2027-10-14,,192.168.213.117,38:3d:e3:dd:fc:86,Active,72724.93,52.78
ASSET-000448,Dehumidifiers,Condair,CON-4644,HG-82688615,Elmore,ICU (Intensive Care),2020-03-17,2020-04-29,2027-11-24,Custom OS,192.168.177.81,,Active,54717.21,67.05
ASSET-000449,Microscopes,Zeiss,ZEI-1130,TA-55543987,Magic Valley,Imaging (Radiology),2021-04-22,2021-05-18,2027-03-16,,192.168.73.34,2d:6d:01:de:22:fb,Active,108230.75,71.78
ASSET-000450,Cardiac Devices,Biotronik,BIO-4845,LN-15739930,Wood River,Emergency,2022-09-22,2022-10-16,2031-05-22,Custom OS,192.168.154.92,97:31:70:39:93:d6,Loaner,166071.54,41.62
ASSET-000451,CT Scanners,GE Healthcare,GE -6694,SS-16484085,Elmore,Med/Surg,2017-08-27,2017-10-29,2030-01-10,Windows 11,,,Active,387040.34,62.62
ASSET-000452,Dehumidifiers,Carel,CAR-7966,DF-77043581,Eagle,Cardiac Care,2015-05-16,2015-06-14,2031-05-15,VxWorks,,38:a8:42:0a:0a:c2,Active,353841.61,79.12
ASSET-000453,Dialysis,Fresenius,FRE-9497,GT-88013361,Magic Valley,Emergency,2023-04-06,2023-06-14,2030-05-26,Windows Server 2019,192.168.56.142,06:12:0a:34:cb:f8,Active,145129.41,30.24
ASSET-000454,Anesthesia Machines,Mindray,MIN-3025,CB-61207501,Eagle,Med/Surg,2017-12-09,2017-12-20,2026-09-24,,192.168.6.4,4d:30:c8:63:9f:a5,Active,373024.26,93.02
ASSET-000455,Ultrasound,Mindray,MIN-8723,NQ-24819346,Eagle,Cardiac Care,2021-02-08,2021-04-02,2029-12-18,Embedded Linux,192.168.128.187,be:37:e7:72:0c:cb,Active,226307.22,44.77
ASSET-000456,CT Scanners,Siemens,SIE-2370,CB-66506180,Meridian,Neuro,2017-04-28,2017-06-30,2028-07-20,,192.168.215.146,,Active,249241.78,79.12
ASSET-000457,Anesthesia Machines,Mindray,MIN-7660,KQ-15814491,Boise,Cardiac Care,2018-09-26,2018-11-28,2027-06-21,Embedded Linux,192.168.132.143,,Loaner,45309.98,86.05
ASSET-000458,Ventilators,Drager,DRA-3655,NT-66072832,Jerome,ICU (Intensive Care),2017-04-15,2017-04-30,2026-07-16,Custom OS,192.168.36.192,,Active,9582.97,91.18
ASSET-000459,Vital Signs Monitors,Mindray,MIN-7088,DB-42450882,North Canyon,Imaging (Radiology),2017-05-17,2017-08-13,2027-10-23,VxWorks,192.168.119.54,,Retired,361464.48,83.52
ASSET-000460,Surgical Lights,Berchtold,BER-1160,GM-09968814,McCall,Med/Surg,2017-03-16,2017-03-25,2028-12-07,Windows 10,192.168.85.25,ef:50:22:b3:73:b0,Active,464300.35,62.75
ASSET-000461,Cardiac Devices,Abbott,ABB-7017,JG-36822239,North Canyon,Med/Surg,2019-09-18,2019-12-10,2028-03-04,,192.168.68.145,c4:a9:8d:f2:6b:56,Active,119756.36,67.16
ASSET-000462,Ventilators,Philips,PHI-8790,KC-12908781,Boise,Emergency,2016-01-05,2016-03-11,2029-08-11,Custom OS,192.168.144.101,c5:f2:b5:9f:a2:28,Retired,421884.65,74.55
ASSET-000463,Surgical Lights,Welch Allyn,WEL-8163,HD-41397552,Jerome,Recovery,2022-12-26,2023-01-28,2030-07-21,Windows 10,,,Active,176265.82,34.24
ASSET-000464,MRI,Philips,PHI-3932,KE-49135775,Elmore,OR (Operating Room),2018-08-12,2018-10-19,2027-10-10,Windows Server 2019,,06:8b:11:8c:f5:cb,Active,349272.04,72.53
ASSET-000465,Microscopes,Olympus,OLY-8446,HH-99556205,Fruitland,Imaging (Radiology),2022-12-28,2023-03-21,2031-01-12,QNX,192.168.189.46,,Active,212688.43,38.46
ASSET-000466,CT Scanners,GE Healthcare,GE -9914,MK-64525777,Twin Falls,Lab,2015-06-27,2015-09-22,2029-12-06,,192.168.242.94,ce:d5:1f:21:62:4b,Active,46564.51,74.43
ASSET-000467,Surgical Lights,Daray,DAR-7705,TG-78129142,Nampa,OR (Operating Room),2019-05-18,2019-07-02,2026-08-19,,192.168.239.119,2e:5d:2c:5f:a2:0a,Active,395424.66,82.18
ASSET-000468,Lighting Systems,Brüel & Kjaer,BRÜ-5042,NG-41108099,Twin Falls,Lab,2017-05-02,2017-06-20,2028-03-19,Windows 11,,66:5a:97:84:e1:87,Active,180800.79,78.64
ASSET-000469,Microscopes,Leica,LEI-1601,NH-08488725,North Canyon,Med/Surg,2017-09-19,2017-10-16,2029-11-26,Windows Server 2019,192.168.180.248,89:2e:6b:84:6f:ef,Active,461350.09,65.17
ASSET-000470,Ventilators,GE Healthcare,GE -6291,MS-94278816,McCall,OB/GYN,2021-11-19,2021-11-24,2027-02-21,Windows 10,192.168.122.86,33:5f:b7:9c:53:ef,Active,377262.36,74.39
ASSET-000471,Surgical Lights,Berchtold,BER-8759,FE-03928272,Magic Valley,Cardiac Care,2020-10-11,2020-12-12,2029-04-25,,,da:89:cd:0e:53:55,Retired,443864.65,54.65
ASSET-000472,Cardiac Devices,Boston Scientific,BOS-3128,MH-75037314,Wood River,Emergency,2015-02-10,2015-03-01,2029-03-15,Windows 11,192.168.45.78,5e:78:68:df:2e:7d,Active,279897.37,77.76
ASSET-000473,CT Scanners,GE Healthcare,GE -8713,BL-03856770,Jerome,Med/Surg,2018-08-22,2018-10-10,2030-02-13,Custom OS,,a7:90:d9:c9:24:b1,Active,371512.41,60.86
ASSET-000474,Ventilators,Philips,PHI-7047,NN-18449892,McCall,Emergency,2023-01-20,2023-04-07,2031-11-08,Windows 11,192.168.78.112,c4:5c:d9:4d:91:9f,Active,411531.13,30.35
ASSET-000475,Ventilators,Philips,PHI-7524,NM-59184638,Wood River,Neuro,2016-08-26,2016-09-06,2027-12-04,Embedded Linux,,a3:41:c4:e8:05:f8,Active,336746.49,84.22
ASSET-000476,Ultrasound,Mindray,MIN-2899,FH-57790827,North Canyon,Recovery,2023-06-25,2023-08-25,2031-06-04,,,c4:28:4c:03:ac:84,Active,407353.38,37.28
ASSET-000477,Defibrillators,Medtronic,MED-1652,DH-18432225,Meridian,Recovery,2022-06-02,2022-08-18,2028-06-22,Custom OS,192.168.69.46,d5:08:e4:a6:98:12,Active,181836.02,50.37
ASSET-000478,Ventilators,Drager,DRA-9765,FP-65177739,Meridian,Imaging (Radiology),2017-11-16,2018-01-11,2029-08-23,Custom OS,,,Active,286688.8,55.41
ASSET-000479,Ventilators,Puritan Bennett,PUR-2656,SB-03029922,Eagle,Neuro,2016-06-21,2016-07-30,2027-01-06,,192.168.168.191,,Active,219550.47,96.16
ASSET-000480,Ultrasound,Sonosite,SON-9422,AK-92024286,Jerome,Lab,2015-06-19,2015-08-19,2027-07-09,,192.168.71.129,cc:5c:91:8b:02:d0,Active,392115.03,100.0
ASSET-000481,Cardiac Devices,Abbott,ABB-2591,PE-13797723,Magic Valley,Lab,2015-12-11,2016-01-09,2026-05-24,,,a8:c7:f3:06:af:ae,Active,412201.21,96.52
ASSET-000482,Patient Monitors,Mortara,MOR-3785,CH-92984257,Wood River,Med/Surg,2019-07-02,2019-09-25,2032-11-16,Windows Server 2019,192.168.192.253,9b:95:a1:e7:ef:0f,Active,294543.76,56.24
ASSET-000483,Dehumidifiers,Condair,CON-5651,PE-66210388,Jerome,Recovery,2018-07-18,2018-08-04,2032-02-04,Windows 11,,5b:51:cd:d1:b4:6f,Active,301628.03,58.19
ASSET-000484,Dialysis,Nxstage,NXS-9229,SD-91279908,Jerome,Neuro,2021-04-28,2021-06-19,2029-08-06,,192.168.74.1,ab:ed:58:32:c4:d6,Loaner,208095.43,46.36
ASSET-000485,Cardiac Devices,LivaNova,LIV-9247,PM-17298068,Meridian,OB/GYN,2021-01-11,2021-03-31,2027-10-21,Windows 10,,c7:62:52:ea:bc:7a,Active,468884.74,64.21
ASSET-000486,Infusion Pumps,Alaris,ALA-4391,DP-08637659,North Canyon,Recovery,2022-04-22,2022-07-09,2027-04-26,Embedded Linux,192.168.29.206,a9:51:7d:ec:23:03,Active,342601.68,69.06
ASSET-000487,Microscopes,Olympus,OLY-2152,PJ-24731498,Eagle,Cardiac Care,2023-02-23,2023-05-12,2029-01-15,QNX,192.168.208.102,,Active,24753.7,33.99
ASSET-000488,MRI,GE Healthcare,GE -2697,NG-30098180,Nampa,Cardiac Care,2016-12-06,2017-01-22,2029-04-26,Windows Server 2019,192.168.165.178,fb:7d:85:af:97:e3,Active,227936.2,62.58
ASSET-000489,Dehumidifiers,Condair,CON-3425,JT-56512694,Jerome,Cardiac Care,2015-04-12,2015-06-24,2028-12-06,Windows Server 2019,192.168.113.173,41:4b:95:c4:83:74,Active,109772.71,73.03
ASSET-000490,CT Scanners,Hitachi,HIT-9467,TT-69594636,Eagle,Recovery,2017-06-21,2017-07-11,2029-09-12,Embedded Linux,192.168.223.135,f7:c2:07:21:af:73,Active,116033.44,62.78
ASSET-000491,Dialysis,DaVita,DAV-6840,MN-72588744,Fruitland,Recovery,2015-12-28,2016-03-05,2030-06-22,QNX,192.168.85.130,28:1c:e4:7e:7d:83,Active,95428.91,74.36
ASSET-000492,Surgical Lights,Berchtold,BER-3907,NL-21372138,Boise,OB/GYN,2019-09-09,2019-09-21,2030-02-05,Windows 10,192.168.63.150,,Active,53643.77,58.82
ASSET-000493,Patient Monitors,Spacelabs,SPA-2907,RP-89026012,Fruitland,ICU (Intensive Care),2022-04-04,2022-06-13,2030-05-19,Embedded Linux,,e2:63:e9:00:80:d0,Active,248839.54,36.77
ASSET-000494,Dialysis,Nxstage,NXS-5328,NN-11435190,Jerome,Lab,2020-05-22,2020-08-02,2030-02-25,,192.168.82.229,,Active,85749.78,45.66
ASSET-000495,Infusion Pumps,B. Braun,B. -6610,AG-98490277,Wood River,Neuro,2017-04-25,2017-05-09,2028-09-10,VxWorks,192.168.176.77,,Active,337584.18,63.24
ASSET-000496,Dehumidifiers,Condair,CON-3587,FB-84309883,North Canyon,Imaging (Radiology),2020-09-16,2020-12-09,2029-12-09,Windows Server 2019,192.168.220.214,4a:9c:aa:b5:a1:e6,Active,283826.77,52.63
ASSET-000497,Anesthesia Machines,Philips,PHI-6793,NN-53021465,Wood River,Imaging (Radiology),2022-05-01,2022-05-27,2026-12-09,Windows Server 2019,192.168.110.203,66:6e:e1:8c:36:26,Active,166114.1,69.8
ASSET-000498,Anesthesia Machines,Aisys,AIS-7390,TM-93801184,Elmore,Recovery,2018-05-20,2018-08-04,2027-02-02,Windows Server 2019,192.168.113.237,f1:44:25:a6:d3:4d,Retired,296955.12,90.74
ASSET-000499,Patient Monitors,Mindray,MIN-9955,AJ-54393769,Wood River,Cardiac Care,2023-09-27,2023-11-04,2028-02-28,,192.168.81.246,,Retired,225690.98,53.85
ASSET-000500,Patient Monitors,Spacelabs,SPA-6934,LD-26818184,McCall,Lab,2019-05-20,2019-05-23,2026-11-14,Custom OS,192.168.13.213,bf:08:df:10:a7:fb,Active,170207.52,80.67
ASSET-000501,Vital Signs Monitors,Philips,PHI-9712,RH-84894769,Nampa,Neuro,2016-10-15,2017-01-02,2028-02-25,Custom OS,192.168.116.228,,Active,326969.63,75.73
ASSET-000502,Defibrillators,Stryker,STR-8084,CN-57790714,Boise,Med/Surg,2019-01-20,2019-03-11,2026-04-11,Windows Server 2019,,a7:ea:66:b5:4e:60,Active,107041.36,81.82
ASSET-000503,Dehumidifiers,Condair,CON-9848,JH-33565880,McCall,ICU (Intensive Care),2020-06-08,2020-09-01,2027-05-06,Windows Server 2019,192.168.236.56,,Active,439430.61,84.44
ASSET-000504,Anesthesia Machines,Philips,PHI-4417,LM-41651827,Eagle,OR (Operating Room),2022-08-13,2022-09-08,2026-07-19,,192.168.45.130,,Active,65243.36,72.57
ASSET-000505,Surgical Lights,Daray,DAR-6871,HJ-39423733,Elmore,Emergency,2021-04-07,2021-04-19,2029-05-17,Embedded Linux,192.168.98.206,33:b5:b8:9e:21:de,Retired,327740.91,42.29
ASSET-000506,Lighting Systems,Steris,STE-1259,DC-33339521,Twin Falls,Emergency,2015-03-28,2015-04-29,2027-01-05,Windows 11,192.168.196.10,6b:96:be:d4:50:d6,Active,468464.34,100.0
ASSET-000507,CT Scanners,GE Healthcare,GE -3660,LR-79080759,Boise,Recovery,2018-05-13,2018-08-02,2031-10-11,Windows 10,192.168.228.121,49:d0:17:c1:56:50,Active,177589.87,57.23
ASSET-000508,Infusion Pumps,B. Braun,B. -8609,EB-94728463,Eagle,Neuro,2022-03-28,2022-06-14,2028-08-16,,192.168.83.169,31:f4:fc:64:40:70,Active,403696.5,51.43
ASSET-000509,Surgical Lights,Berchtold,BER-5625,FQ-86780856,North Canyon,ICU (Intensive Care),2018-04-09,2018-05-03,2029-12-15,VxWorks,192.168.253.227,43:a7:d8:bf:4a:11,Active,400886.84,61.32
ASSET-000510,Anesthesia Machines,GE Healthcare,GE -1558,DL-18750036,Magic Valley,Imaging (Radiology),2021-06-01,2021-08-14,2027-06-07,Custom OS,,6d:e8:86:e1:3c:8f,Active,259673.0,73.37
ASSET-000511,Ultrasound,Philips,PHI-8984,RL-59428434,Jerome,Recovery,2016-11-28,2017-01-11,2028-06-14,VxWorks,192.168.59.250,38:3d:97:40:b1:9d,Active,278882.78,84.4
ASSET-000512,MRI,Canon,CAN-4192,NJ-52763655,Nampa,Lab,2015-04-24,2015-06-09,2030-10-28,Windows 10,,75:55:bf:51:33:54,Active,430175.7,72.26
ASSET-000513,Vital Signs Monitors,Spacelabs,SPA-7947,HT-72929314,Magic Valley,Cardiac Care,2015-07-10,2015-08-29,2032-08-15,QNX,,80:9f:6a:22:1e:d2,Active,243061.4,71.6
ASSET-000514,MRI,Siemens,SIE-7865,PR-66322702,Eagle,OB/GYN,2018-04-27,2018-06-11,2026-05-05,,192.168.190.150,,Active,224473.77,91.72
ASSET-000515,Dialysis,Fresenius,FRE-9529,BN-28857448,Twin Falls,Neuro,2016-11-20,2017-01-20,2027-08-10,,192.168.157.117,ae:8b:14:c3:82:39,Active,215825.73,91.68
ASSET-000516,Dehumidifiers,Carel,CAR-4680,LJ-12034717,Jerome,ICU (Intensive Care),2016-12-20,2017-03-07,2028-11-16,,,35:8f:8d:80:a8:d6,Active,129368.29,63.57
ASSET-000517,Patient Monitors,Mortara,MOR-9109,DM-55884506,Magic Valley,OB/GYN,2021-11-09,2021-11-23,2031-08-18,VxWorks,192.168.133.223,,Active,302822.84,45.9
